       exp       theory         diff
    0.0000       0.0000       0.0000
  -14.7900     -14.9418       0.1518
  -14.1340     -14.1156      -0.0184
  -13.2790     -13.2824       0.0034
  -10.0900      -9.7655      -0.3245
  -31.3200     -31.3216       0.0016
  -29.8230     -29.8189      -0.0041
  -29.3410     -29.3692       0.0282
  -28.6900     -28.5829      -0.1071
  -44.5880     -44.6260       0.0380
  -44.2370     -44.1948      -0.0422
  -43.7850     -43.9331       0.1481
  -43.3520     -43.1996      -0.1524
  -42.6360     -42.8528       0.2168
  -40.5880     -40.5736      -0.0144
  -59.6640     -59.5880      -0.0760
  -58.3160     -58.0366      -0.2794
  -57.4480     -57.2818      -0.1662
  -57.3760     -57.2434      -0.1326
  -57.3310     -57.2172      -0.1138
  -57.1400     -57.2645       0.1245
  -56.9620     -57.0654       0.1034
  -56.9500     -56.7999      -0.1501
  -56.7810     -56.3306      -0.4504
  -56.7310     -55.6351      -1.0959
  -56.4370     -55.8424      -0.5946
  -71.2070     -71.1378      -0.0692
  -70.9000     -71.1084       0.2084
  -70.4950     -70.2744      -0.2206
  -70.0130     -70.2122       0.1992
  -69.6640     -69.5543      -0.1097
  -69.3400     -69.3607       0.0207
  -68.4280     -68.2279      -0.2001
  -68.1130     -68.3539       0.2409
  -84.7750     -84.7389      -0.0361
  -83.3210     -83.1147      -0.2063
  -82.6530     -82.4300      -0.2230
  -82.3140     -82.2100      -0.1040
  -82.8080     -82.8565       0.0485
  -82.0750     -82.2383       0.1633
  -81.4030     -80.8982      -0.5048
  -81.2370     -80.7191      -0.5179
  -94.6910     -94.7690       0.0780
  -94.3460     -94.4808       0.1348
  -93.7350     -93.8923       0.1573
  -93.5000     -93.6839       0.1839
  -93.2640     -93.2529      -0.0111
  -93.1380     -93.2252       0.0872
  -93.1200     -93.1622       0.0422
  -92.9660     -93.0039       0.0379
  -92.8960     -93.3109       0.4149
  -92.8320     -92.6400      -0.1920
  -92.5260     -92.7306       0.2046
  -91.3650     -90.5985      -0.7665
  -91.2700     -90.8745      -0.3955
  -91.0060     -90.7640      -0.2420
  -90.8350     -90.6950      -0.1400
 -106.6700    -106.7326       0.0626
 -105.1050    -105.0727      -0.0323
 -104.4200    -104.4552       0.0352
 -104.3210    -104.1618      -0.1592
 -103.9440    -103.9789       0.0349
 -103.7530    -103.8029       0.0499
 -103.5710    -103.4394      -0.1316
 -102.7350    -102.7156      -0.0194
 -102.2390    -102.2825       0.0435
 -101.9770    -102.2304       0.2534
 -115.2920    -115.2910      -0.0010
 -114.8890    -114.8463      -0.0427
 -114.4470    -114.6156       0.1686
