 total          140  coefficients
 no.   parameter        vary/fix
  1  eps( 1=( 1 1 3/2))  1
  2  eps( 2=( 0 3 7/2))  1
  3  eps( 3=( 1 1 1/2))  1
  4  eps( 4=( 0 4 9/2))  1
  5  eps( 5=( 2 4 9/2))  0
  6  eps( 6=( 2 4 9/2))  0
  7  eps( 7=( 2 4 9/2))  0
  8  v( 1 1 1 1; 1 0)    0
  9  v( 1 1 1 1; 3 0)    0
 10  v( 1 1 1 1; 5 0)    0
 11  v( 1 1 2 1; 1 0)    0
 12  v( 1 1 2 1; 3 0)    0
 13  v( 1 1 3 1; 3 0)    0
 14  v( 1 1 2 2; 1 0)    0
 15  v( 1 1 2 2; 3 0)    0
 16  v( 1 1 3 2; 1 0)    0
 17  v( 1 1 3 3; 1 0)    0
 18  v( 1 1 4 4; 1 0)    0
 19  v( 1 1 4 4; 3 0)    0
 20  v( 1 1 4 4; 5 0)    0
 21  v( 2 1 2 1; 1 0)    0
 22  v( 2 1 2 1; 2 0)    0
 23  v( 2 1 2 1; 3 0)    0
 24  v( 2 1 2 1; 4 0)    0
 25  v( 2 1 3 1; 2 0)    0
 26  v( 2 1 3 1; 3 0)    0
 27  v( 2 1 2 2; 1 0)    0
 28  v( 2 1 2 2; 3 0)    0
 29  v( 2 1 3 2; 1 0)    0
 30  v( 2 1 3 2; 2 0)    0
 31  v( 2 1 3 3; 1 0)    0
 32  v( 2 1 4 4; 1 0)    0
 33  v( 2 1 4 4; 3 0)    0
 34  v( 3 1 3 1; 2 0)    0
 35  v( 3 1 3 1; 3 0)    0
 36  v( 3 1 2 2; 3 0)    0
 37  v( 3 1 3 2; 2 0)    0
 38  v( 3 1 4 4; 3 0)    0
 39  v( 4 1 4 1; 2 0)    0
 40  v( 4 1 4 1; 3 0)    0
 41  v( 4 1 4 1; 4 0)    0
 42  v( 4 1 4 1; 5 0)    0
 43  v( 4 1 4 1; 6 0)    0
 44  v( 4 1 4 1; 7 0)    0
 45  v( 4 1 4 2; 3 0)    0
 46  v( 4 1 4 2; 4 0)    0
 47  v( 4 1 4 2; 5 0)    0
 48  v( 4 1 4 2; 6 0)    0
 49  v( 4 1 4 3; 4 0)    0
 50  v( 4 1 4 3; 5 0)    0
 51  v( 2 2 2 2; 1 0)    0
 52  v( 2 2 2 2; 3 0)    0
 53  v( 2 2 3 2; 1 0)    0
 54  v( 2 2 3 3; 1 0)    0
 55  v( 2 2 4 4; 1 0)    0
 56  v( 2 2 4 4; 3 0)    0
 57  v( 3 2 3 2; 1 0)    0
 58  v( 3 2 3 2; 2 0)    0
