Energy outputs   (0.189 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
    0.0000     1.2042     0.0000     0.0000     0.0000
  -14.7900     0.1450   -14.8441   -14.8910     0.0469
    0.6560    -0.0500   -14.1266     0.6520   -14.7786
    1.5110    -0.0500   -13.3292     1.5110   -14.8402
    4.7000     1.0060    -9.6414     5.1720   -14.8134
  -31.3200     0.1000   -31.1814   -31.2379     0.0565
    1.4970     0.1000   -29.6990     1.4499   -31.1489
    1.9790     0.1000   -29.1417     1.9261   -31.0678
    2.6300     0.1000   -28.7319     2.6429   -31.3748
  -44.5880     0.1000   -44.5157   -44.6037     0.0880
    0.3510     0.1000   -44.0640     0.4615   -44.5255
    0.8030     0.1000   -43.9094     0.7494   -44.6588
    1.2360     0.1000   -43.1434     1.3581   -44.5015
    1.9520     0.1000   -42.6159     1.8978   -44.5137
    4.0000     1.0060   -40.4192     3.8605   -44.2797
  -59.6640     0.1000   -59.5026   -59.5986     0.0960
    1.3480     0.1000   -57.9733     1.5102   -59.4835
    2.2160     0.1000   -57.1067     2.1779   -59.2846
    2.2880     0.1000   -57.2701     2.2318   -59.5019
    2.3330     0.1000   -57.1138     2.4065   -59.5203
    2.5240     0.1000   -57.1114     2.4993   -59.6107
    2.7020     0.1000   -56.7519     2.7477   -59.4996
    2.7140     0.1000   -56.7399     2.7821   -59.5220
    2.8830     1.0060   -56.2607     3.1649   -59.4256
    2.9330     1.0060   -55.6578     3.8731   -59.5309
    3.2270     1.0060   -55.9555     3.9298   -59.8853
  -71.2070     0.1000   -71.1173   -71.1655     0.0482
    0.3070     0.1000   -71.0294     0.1353   -71.1647
    0.7120     0.1000   -70.2185     0.7558   -70.9743
    1.1940     0.1000   -70.0638     1.1246   -71.1884
    1.5430     0.1000   -69.5901     1.5177   -71.1078
    1.8670     0.1000   -69.3530     1.8440   -71.1970
    2.7790     1.0060   -68.1221     2.8057   -70.9278
    3.0940     1.0060   -68.2872     2.9812   -71.2684
  -84.7750     0.1000   -84.6858   -84.7275     0.0417
    1.4540     0.1000   -82.9655     1.7092   -84.6747
    2.1220     0.1000   -82.4417     2.2440   -84.6857
    2.4610     0.1000   -82.0449     2.5503   -84.5952
    1.9670     0.1000   -82.9462     1.8426   -84.7888
    2.7000     0.1000   -82.1487     2.5317   -84.6804
    3.3720     1.0060   -80.9366     3.9613   -84.8979
    3.5380     1.0060   -80.9738     4.2161   -85.1899
  -94.6910     0.1000   -94.8026   -94.7176    -0.0850
    0.3450     0.1000   -94.3940     0.2840   -94.6780
    0.9560     0.1000   -93.8479     0.8961   -94.7440
    1.1910     0.1000   -93.7422     1.0827   -94.8249
    1.4270     0.1000   -93.4418     1.4839   -94.9257
    1.5530     0.1000   -93.2957     1.4717   -94.7674
    1.5710     0.1000   -93.2590     1.5678   -94.8268
    1.7250     0.1000   -93.1281     1.7354   -94.8635
    1.7950     0.1000   -93.1901     1.7897   -94.9798
    1.8590     0.1000   -92.6071     2.0752   -94.6823
    2.1650     0.1000   -92.7555     2.0569   -94.8124
    3.3260     1.0060   -90.4209     4.3364   -94.7573
    3.4210     1.0060   -91.0309     3.9128   -94.9437
    3.6850     1.0060   -90.8118     3.9072   -94.7190
    3.8560     0.1000   -90.8271     3.9582   -94.7853
 -106.6700     0.1000  -106.7549  -106.6374    -0.1175
    1.5650     0.1000  -105.1326     1.5432  -106.6758
    2.2500     0.1000  -104.4744     2.2587  -106.7331
    2.3490     0.1000  -104.2746     2.4299  -106.7045
    2.7260     1.0060  -104.0347     3.5766  -107.6113
    2.9170     0.1000  -103.7602     3.0843  -106.8445
    3.0990     0.1000  -103.4504     3.2150  -106.6654
    3.9350     0.1000  -102.8582     3.8090  -106.6672
    4.4310     0.1000  -102.3274     4.4089  -106.7363
    4.6930     1.2042  -102.1596     4.3875  -106.5471
 -115.2920     0.1000  -115.3648  -115.2914    -0.0734
    0.4030     0.1000  -114.9099     0.3659  -115.2758
    0.8450     0.1000  -114.7111     0.8668  -115.5779
    1.3490     0.1000  -113.6248     1.4503  -115.0751
    1.3900     0.1000  -114.0539     1.2722  -115.3261
    1.4630     0.1000  -113.9774     1.4649  -115.4423
    1.5780     0.1000  -113.8550     1.5308  -115.3858
    1.6780     0.1000  -113.5177     1.8083  -115.3260
    1.7400     1.0060  -113.0511     2.4373  -115.4884
    3.0010     0.1000  -112.3014     3.0793  -115.3807
    3.0990     0.1000  -112.3234     3.0326  -115.3560
    3.6440     0.1000  -111.8635     3.6499  -115.5134
    4.1510     0.1000  -111.2753     4.1525  -115.4278
 -125.9040     0.1000  -125.9388  -125.9426     0.0038
    1.8360     0.1000  -124.1272     1.8245  -125.9517
    2.7340     0.1000  -123.3120     2.6905  -126.0025
    3.1560     0.1000  -122.7513     3.1915  -125.9428
    3.2180     0.1000  -122.8209     3.1496  -125.9705
    3.6350     0.1000  -122.4809     3.5629  -126.0438
    3.4870     0.1000  -122.4643     3.4469  -125.9112
    3.5850     0.1000  -122.4241     3.5572  -125.9813
    3.9530     0.1000  -122.1246     3.8672  -125.9918
    3.9920     1.0060  -122.0873     3.6819  -125.7692
    4.0200     0.1000  -121.8371     4.0551  -125.8922
 -132.9830     0.1000  -133.0465  -133.1012     0.0547
    0.9090     0.1000  -132.1571     0.9609  -133.1180
    1.5070     0.1000  -131.4743     1.4990  -132.9733
    1.7450     0.1000  -131.4532     1.5763  -133.0295
    2.2220     0.1000  -131.0750     2.1541  -133.2291
    2.5300     0.1000  -130.5715     2.6044  -133.1759
    2.5670     0.1000  -130.5851     2.5650  -133.1501
    2.6220     0.1000  -130.2741     2.6522  -132.9263
    2.8930     0.1000  -130.2400     2.9062  -133.1462
    3.3430     0.1000  -129.8452     3.2473  -133.0925
    4.1320     0.1000  -128.9660     4.1471  -133.1131
    4.4500     0.1000  -128.5871     4.4656  -133.0527
    4.8390     0.1000  -128.1138     4.8643  -132.9781
 -141.3330     0.1000  -141.3526  -141.3630     0.0104
    1.7610     0.1000  -139.6145     1.8132  -141.4277
    2.1860     0.1000  -139.1756     2.2378  -141.4134
    2.3190     0.1000  -139.0699     2.2877  -141.3576
    2.7390     0.1000  -138.6545     2.7095  -141.3640
    2.7480     0.1000  -138.6382     2.6503  -141.2885
    3.0770     0.1000  -138.2771     3.0877  -141.3648
    3.3090     0.1000  -137.8925     3.2956  -141.1881
    3.4480     0.1000  -137.9498     3.4755  -141.4253
    3.5890     0.1000  -137.8340     3.5179  -141.3519
    4.3750     1.0060  -137.2935     4.1066  -141.4001
    5.2480     0.1000  -136.2135     5.1546  -141.3681
    5.6440     0.1000  -135.9077     5.4781  -141.3858
 -146.4880     0.1000  -146.5552  -146.5293    -0.0259
    0.1050     0.1000  -146.4562     0.1219  -146.5781
    1.1870     0.1000  -145.3542     1.2097  -146.5639
    1.3130     0.1000  -145.2079     1.3881  -146.5960
    1.5810     0.1000  -145.0081     1.4825  -146.4906
    1.6130     0.1000  -144.8879     1.5506  -146.4385
    1.6370     0.1000  -144.9409     1.6129  -146.5538
    1.7900     0.1000  -144.6920     1.7909  -146.4829
    1.9840     0.1000  -144.5695     2.0413  -146.6108
    2.0340     0.1000  -144.5144     2.0329  -146.5473
    2.2900     0.1000  -144.2990     2.2986  -146.5976
    2.4130     0.1000  -144.1205     2.4704  -146.5909
    2.6600     0.1000  -143.8280     2.6913  -146.5193
    3.1100     0.1000  -143.4145     3.1393  -146.5538
    3.4660     0.1000  -143.0368     3.4477  -146.4845
 -153.9470     0.1000  -153.9255  -153.9176    -0.0079
    1.5100     0.1000  -152.3742     1.5919  -153.9661
    2.2830     0.1000  -151.6221     2.2633  -153.8854
    2.5200     0.1000  -151.4315     2.5112  -153.9427
    2.5270     0.1000  -151.4573     2.4996  -153.9569
    2.6120     0.1000  -151.3591     2.6361  -153.9952
    2.7600     0.1000  -151.2446     2.7026  -153.9472
    2.8500     0.1000  -151.0293     2.8214  -153.8507
    3.0910     1.2042  -150.9128     3.0710  -153.9838
    3.6230     1.2042  -150.3642     3.6117  -153.9759
 -158.0340     0.1000  -158.0443  -158.0159    -0.0284
    0.3920     0.1000  -157.6290     0.4129  -158.0419
    0.6810     0.1000  -157.2949     0.7233  -158.0182
    1.4080     0.1000  -156.6111     1.4944  -158.1055
    1.4340     0.1000  -156.5771     1.5321  -158.1092
    1.5160     0.1000  -156.5051     1.5107  -158.0158
    2.1850     0.1000  -155.8698     2.1481  -158.0179
    2.1850     0.1000  -155.8004     2.2171  -158.0175
    2.1850     0.1000  -155.8911     2.1715  -158.0626
    2.5350     0.1000  -155.4965     2.5399  -158.0364
    3.2810     0.1000  -154.7604     3.2701  -158.0305
    3.8880     0.1000  -154.0724     3.9532  -158.0256
 -164.3000     0.1000  -164.2323  -164.2473     0.0150
    1.4310     0.1000  -162.7701     1.4544  -164.2245
    2.1870     0.1000  -162.0518     2.2185  -164.2703
    2.4980     0.1000  -161.7524     2.4890  -164.2414
    2.5030     0.1000  -161.7629     2.5170  -164.2799
    2.6240     0.1000  -161.6498     2.5914  -164.2412
    2.6440     0.1000  -161.6644     2.6276  -164.2920
    2.9950     0.1000  -161.1674     2.9307  -164.0981
    3.6580     0.1000  -160.6235     3.6345  -164.2580
 -167.3460     0.1000  -167.3190  -167.3246     0.0056
    0.5430     0.1000  -166.6833     0.6050  -167.2883
    0.6800     0.1000  -166.6243     0.7033  -167.3276
    1.1800     0.1000  -166.1025     1.1612  -167.2637
    1.3510     0.1000  -165.9209     1.3889  -167.3098
    1.4300     0.1000  -165.8564     1.4500  -167.3064
    2.0680     0.1000  -165.1870     2.1226  -167.3096
    2.2360     0.1000  -165.1023     2.2142  -167.3165
    2.4500     0.1000  -164.8467     2.4925  -167.3392
    3.2430     0.1000  -164.0550     3.2378  -167.2928
    3.7240     0.1000  -163.4547     3.8040  -167.2587
    3.9090     0.1000  -163.3923     3.8999  -167.2922
 -172.4780     0.1000  -172.4001  -172.4411     0.0410
    1.4150     0.1000  -170.9948     1.3916  -172.3864
    2.0990     0.1000  -170.2843     2.1055  -172.3898
    2.4240     0.1000  -170.0278     2.4045  -172.4323
    2.5310     0.1000  -169.9119     2.5205  -172.4324
    2.6490     0.1000  -169.7537     2.6573  -172.4110
    3.1840     0.1000  -169.2203     3.2022  -172.4225
    3.7840     0.1000  -168.5800     3.8044  -172.3844
 -174.4880     0.1000  -174.4919  -174.5157     0.0238
    0.7160     0.1000  -173.7945     0.6850  -174.4795
    1.2900     0.1000  -173.1741     1.2639  -174.4380
    1.4180     0.1000  -172.9810     1.4981  -174.4791
    1.6730     0.1000  -172.7603     1.6899  -174.4502
    2.0200     0.1000  -172.4230     2.0157  -174.4387
    2.0530     0.1000  -172.3804     2.0790  -174.4594
    2.3430     0.1000  -172.0903     2.3788  -174.4691
 -178.5090     0.1000  -178.5086  -178.5195     0.0109
    1.3950     0.1000  -177.1354     1.3082  -178.4436
    2.0820     0.1000  -176.4406     2.0870  -178.5276
    2.2800     0.1000  -176.2443     2.2023  -178.4466
    2.4280     0.1000  -176.0878     2.4083  -178.4961
    2.6270     0.1000  -175.8181     2.7129  -178.5310
 -179.5910     0.1000  -179.6294  -179.6129    -0.0165
 -178.5910     1.2042  -178.6770  -178.6429    -0.0341
    1.3000    -0.0500  -177.3818     1.3015  -178.6833
    2.4000    -0.0500  -176.2632     2.4047  -178.6679
 -182.5990     0.2600  -182.6056  -182.4978    -0.1078
Parameter outputs (0.616 MeV RMS for JP fit) 
