Energy outputs   (0.096 MeV RMS for JP fit): 
       exp      error        BAB         JP       Diff 
    0.0000     1.2042     0.0000     0.0000     0.0000
  -14.7900     0.1450   -14.8441   -14.8442     0.0001
    0.6560    -0.0500   -14.1266   -14.1266    -0.0000
    1.5110    -0.0500   -13.3292   -13.3292     0.0000
    4.7000     1.0060    -9.6414    -9.6414    -0.0000
  -31.3200     0.1000   -31.1814   -31.1814     0.0000
    1.4970     0.1000   -29.6990   -29.6990     0.0000
    1.9790     0.1000   -29.1417   -29.1418     0.0001
    2.6300     0.1000   -28.7319   -28.7319    -0.0000
  -44.5880     0.1000   -44.5157   -44.5157    -0.0000
    0.3510     0.1000   -44.0640   -44.0641     0.0001
    0.8030     0.1000   -43.9094   -43.9094     0.0000
    1.2360     0.1000   -43.1434   -43.1434     0.0000
    1.9520     0.1000   -42.6159   -42.6159     0.0000
    4.0000     1.0060   -40.4192   -40.4192    -0.0000
  -59.6640     0.1000   -59.5026   -59.5026    -0.0000
    1.3480     0.1000   -57.9733   -57.9733     0.0000
    2.2160     0.1000   -57.1067   -57.1067     0.0000
    2.2880     0.1000   -57.2701   -57.2701    -0.0000
    2.3330     0.1000   -57.1138   -57.1138     0.0000
    2.5240     0.1000   -57.1114   -57.1114     0.0000
    2.7020     0.1000   -56.7519   -56.7520     0.0001
    2.7140     0.1000   -56.7399   -56.7399    -0.0000
    2.8830     1.0060   -56.2607   -56.2607     0.0000
    2.9330     1.0060   -55.6578   -55.6578     0.0000
    3.2270     1.0060   -55.9555   -55.9556     0.0001
  -71.2070     0.1000   -71.1173   -71.1173     0.0000
    0.3070     0.1000   -71.0294   -71.0294    -0.0000
    0.7120     0.1000   -70.2185   -70.2185     0.0000
    1.1940     0.1000   -70.0638   -70.0638     0.0000
    1.5430     0.1000   -69.5901   -69.5902     0.0001
    1.8670     0.1000   -69.3530   -69.3530    -0.0000
    2.7790     1.0060   -68.1221   -68.1221     0.0000
    3.0940     1.0060   -68.2872   -68.2873     0.0001
  -84.7750     0.1000   -84.6858   -84.6858    -0.0000
    1.4540     0.1000   -82.9655   -82.9656     0.0001
    2.1220     0.1000   -82.4417   -82.4417    -0.0000
    2.4610     0.1000   -82.0449   -82.0450     0.0001
    1.9670     0.1000   -82.9462   -82.9463     0.0001
    2.7000     0.1000   -82.1487   -82.1488     0.0001
    3.3720     1.0060   -80.9366   -80.9366     0.0000
    3.5380     1.0060   -80.9738   -80.9738    -0.0000
  -94.6910     0.1000   -94.8026   -94.8026     0.0000
    0.3450     0.1000   -94.3940   -94.3941     0.0001
    0.9560     0.1000   -93.8479   -93.8479     0.0000
    1.1910     0.1000   -93.7422   -93.7422    -0.0000
    1.4270     0.1000   -93.4418   -93.4418     0.0000
    1.5530     0.1000   -93.2957   -93.2957    -0.0000
    1.5710     0.1000   -93.2590   -93.2590    -0.0000
    1.7250     0.1000   -93.1281   -93.1281    -0.0000
    1.7950     0.1000   -93.1901   -93.1901    -0.0000
    1.8590     0.1000   -92.6071   -92.6071     0.0000
    2.1650     0.1000   -92.7555   -92.7556     0.0001
    3.3260     1.0060   -90.4209   -90.4209    -0.0000
    3.4210     1.0060   -91.0309   -91.0309     0.0000
    3.6850     1.0060   -90.8118   -90.8118     0.0000
    3.8560     0.1000   -90.8271   -90.8271    -0.0000
 -106.6700     0.1000  -106.7549  -106.7549     0.0000
    1.5650     0.1000  -105.1326  -105.1325    -0.0001
    2.2500     0.1000  -104.4744  -104.4744     0.0000
    2.3490     0.1000  -104.2746  -104.2746     0.0000
    2.7260     1.0060  -104.0347  -104.0347    -0.0000
    2.9170     0.1000  -103.7602  -103.7603     0.0001
    3.0990     0.1000  -103.4504  -103.4504     0.0000
    3.9350     0.1000  -102.8582  -102.8581    -0.0001
    4.4310     0.1000  -102.3274  -102.3274     0.0000
    4.6930     1.2042  -102.1596  -102.1596    -0.0000
 -115.2920     0.1000  -115.3648  -115.3648     0.0000
    0.4030     0.1000  -114.9099  -114.9100     0.0001
    0.8450     0.1000  -114.7111  -114.7111    -0.0000
    1.3490     0.1000  -113.6248  -113.6249     0.0001
    1.3900     0.1000  -114.0539  -114.0539     0.0000
    1.4630     0.1000  -113.9774  -113.9774     0.0000
    1.5780     0.1000  -113.8550  -113.8550    -0.0000
    1.6780     0.1000  -113.5177  -113.5178     0.0001
    1.7400     1.0060  -113.0511  -113.0511    -0.0000
    3.0010     0.1000  -112.3014  -112.3014    -0.0000
    3.0990     0.1000  -112.3234  -112.3235     0.0001
    3.6440     0.1000  -111.8635  -111.8635     0.0000
    4.1510     0.1000  -111.2753  -111.2754     0.0001
 -125.9040     0.1000  -125.9388  -125.9388    -0.0000
    1.8360     0.1000  -124.1272  -124.1271    -0.0001
    2.7340     0.1000  -123.3120  -123.3120     0.0000
    3.1560     0.1000  -122.7513  -122.7513    -0.0000
    3.2180     0.1000  -122.8209  -122.8210     0.0001
    3.6350     0.1000  -122.4809  -122.4809     0.0000
    3.4870     0.1000  -122.4643  -122.4642    -0.0001
    3.5850     0.1000  -122.4241  -122.4241    -0.0000
    3.9530     0.1000  -122.1246  -122.1246    -0.0000
    3.9920     1.0060  -122.0873  -122.0873     0.0000
    4.0200     0.1000  -121.8371  -121.8372     0.0001
 -132.9830     0.1000  -133.0465  -133.0465     0.0000
    0.9090     0.1000  -132.1571  -132.1571    -0.0000
    1.5070     0.1000  -131.4743  -131.4743    -0.0000
    1.7450     0.1000  -131.4532  -131.4533     0.0001
    2.2220     0.1000  -131.0750  -131.0750     0.0000
    2.5300     0.1000  -130.5715  -130.5715    -0.0000
    2.5670     0.1000  -130.5851  -130.5852     0.0001
    2.6220     0.1000  -130.2741  -130.2740    -0.0001
    2.8930     0.1000  -130.2400  -130.2400    -0.0000
    3.3430     0.1000  -129.8452  -129.8451    -0.0001
    4.1320     0.1000  -128.9660  -128.9659    -0.0001
    4.4500     0.1000  -128.5871  -128.5870    -0.0001
    4.8390     0.1000  -128.1138  -128.1139     0.0001
 -141.3330     0.1000  -141.3526  -141.3526     0.0000
