RMS Error 
VLC    Energy     Params 
0      1.6851     0.0000
1      1.6818     0.0010
2      1.6052     0.0212
3      1.5825     0.0251
4      1.5751     0.0266
5      0.4011     0.1638
6      0.3884     0.1643
7      0.3893     0.1644
8      0.3740     0.1673
9      0.3500     0.1700
10     0.2627     0.1802
11     0.2617     0.1803
12     0.2493     0.1824
13     0.2102     0.1896
14     0.1934     0.1924
15     0.1931     0.1925
16     0.1898     0.1936
17     0.1893     0.1937
18     0.1493     0.2033
19     0.1454     0.2042
20     0.1451     0.2043
21     0.1445     0.2045
22     0.1431     0.2049
23     0.1429     0.2050
24     0.1424     0.2053
25     0.1392     0.2066
26     0.1393     0.2067
27     0.1391     0.2069
28     0.1354     0.2091
29     0.1282     0.2140
30     0.1013     0.2310
31     0.1011     0.2311
32     0.0992     0.2322
33     0.0961     0.2349
34     0.0958     0.2351
35     0.0958     0.2351
36     0.0957     0.2353
37     0.0951     0.2360
38     0.0943     0.2371
39     0.0932     0.2384
40     0.0931     0.2385
41     0.0929     0.2390
42     0.0928     0.2391
43     0.0924     0.2402
44     0.0916     0.2420
45     0.0912     0.2428
46     0.0905     0.2454
47     0.0903     0.2457
48     0.0896     0.2486
49     0.0884     0.2529
50     0.0881     0.2539
51     0.0881     0.2540
52     0.0876     0.2566
53     0.0852     0.2724
54     0.0826     0.2919
55     0.0826     0.2922
56     0.0824     0.2948
57     0.0822     0.2961
58     0.0822     0.2965
59     0.0818     0.3043
60     0.0818     0.3045
61     0.0778     0.3755
62     0.0767     0.3924
63     0.0714     0.5013
64     0.0702     0.5201
65     0.0698     0.5280
66     0.0687     0.5624
67     0.0686     0.5645
68     0.0678     0.6181
69     0.0663     0.7476
