Energy outputs   (0.073 MeV RMS for JP fit)
       exp      error        BAB         JP     BAB-JP 
    0.0000     0.1000     0.0000     0.0000     0.0000
  -14.7900     0.1000   -14.8643   -14.9347     0.0704
  -14.1340     0.1000   -14.2390   -14.1590    -0.0800
  -13.2790     0.1000   -13.3503   -13.2797    -0.0706
  -31.3200     0.1000   -31.2163   -31.2431     0.0268
  -29.8230     0.1000   -29.7635   -29.7972     0.0337
  -29.3410     0.1000   -29.2777   -29.3850     0.1073
  -28.6900     0.1000   -28.5505   -28.6501     0.0996
  -44.5880     0.1000   -44.5765   -44.6603     0.0838
  -44.2370     0.1000   -44.1255   -44.1709     0.0454
  -43.7850     0.1000   -43.8173   -43.8755     0.0582
  -43.3520     0.1000   -43.2157   -43.2663     0.0506
  -42.6360     0.1000   -42.6568   -42.6770     0.0202
  -59.6640     0.1000   -59.5748   -59.6646     0.0898
  -58.3160     0.1000   -58.0812   -58.1616     0.0804
  -57.4480     0.1000   -57.4038   -57.4353     0.0315
  -57.3760     0.1000   -57.3462   -57.4255     0.0793
  -57.3310     0.1000   -57.1442   -57.2275     0.0833
  -57.1400     0.1000   -57.0594   -57.0665     0.0071
  -56.9620     0.1000   -56.8225   -56.9184     0.0959
  -56.9500     0.1000   -56.7720   -56.8252     0.0532
  -71.2070     0.1000   -71.1596   -71.1632     0.0036
  -70.9000     0.1000   -71.0280   -71.1304     0.1024
  -70.4950     0.1000   -70.3988   -70.4550     0.0562
  -70.0130     0.1000   -70.0210   -70.1153     0.0943
  -69.6640     0.1000   -69.6565   -69.7202     0.0637
  -69.3400     0.1000   -69.2951   -69.3268     0.0317
  -84.7750     0.1000   -84.7173   -84.7567     0.0394
  -83.3210     0.1000   -83.0275   -83.0890     0.0615
  -82.6530     0.1000   -82.4888   -82.5081     0.0193
  -82.3140     0.1000   -82.1651   -82.2017     0.0366
  -82.8080     0.1000   -82.8864   -82.9176     0.0312
  -82.0750     0.1000   -82.1982   -82.2316     0.0334
  -94.6910     0.1000   -94.7406   -94.7662     0.0256
  -94.3460     0.1000   -94.4752   -94.4532    -0.0220
  -93.7350     0.1000   -93.8422   -93.8639     0.0217
  -93.5000     0.1000   -93.6836   -93.6524    -0.0312
  -93.2640     0.1000   -93.2555   -93.1974    -0.0581
  -93.1380     0.1000   -93.2595   -93.2480    -0.0115
  -93.1200     0.1000   -93.1391   -93.1088    -0.0303
  -92.9660     0.1000   -93.0097   -93.0014    -0.0083
  -92.8960     0.1000   -92.9323   -92.8710    -0.0613
  -92.8320     0.1000   -92.7074   -92.7154     0.0080
  -92.5260     0.1000   -92.6804   -92.6491    -0.0313
  -90.8350     0.1000   -90.7826   -90.7578    -0.0248
 -106.6700     0.1000  -106.6541  -106.6832     0.0291
 -105.1050     0.1000  -105.1128  -105.0852    -0.0276
 -104.4200     0.1000  -104.3866  -104.3568    -0.0298
 -104.3210     0.1000  -104.2335  -104.2435     0.0100
 -103.7530     0.1000  -103.5876  -103.6228     0.0352
 -103.5710     0.1000  -103.4708  -103.4921     0.0213
 -102.7350     0.1000  -102.8346  -102.7651    -0.0695
