Energy outputs   (0.189 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
    0.0000     1.2042     0.0000     0.0000     0.0000
  -14.7900     0.1450   -14.8441   -14.9455     0.1014
  -14.1340    -0.0500   -14.1266   -14.1375     0.0109
  -13.2790    -0.0500   -13.3292   -13.2805    -0.0487
  -10.0900     1.0060    -9.6414    -9.7613     0.1199
  -31.3200     0.1000   -31.1814   -31.2560     0.0746
  -29.8230     0.1000   -29.6990   -29.8025     0.1035
  -29.3410     0.1000   -29.1417   -29.3780     0.2363
  -28.6900     0.1000   -28.7319   -28.6773    -0.0546
  -44.5880     0.1000   -44.5157   -44.6659     0.1502
  -44.2370     0.1000   -44.0640   -44.1748     0.1108
  -43.7850     0.1000   -43.9094   -43.8846    -0.0248
  -43.3520     0.1000   -43.1434   -43.2809     0.1375
  -42.6360     0.1000   -42.6159   -42.6903     0.0744
  -40.5880     1.0060   -40.4192   -40.6167     0.1975
  -59.6640     0.1000   -59.5026   -59.6820     0.1794
  -58.3160     0.1000   -57.9733   -58.1454     0.1721
  -57.4480     0.1000   -57.1067   -57.4293     0.3226
  -57.3760     0.1000   -57.2701   -57.4241     0.1540
  -57.3310     0.1000   -57.1138   -57.2611     0.1473
  -57.1400     0.1000   -57.1114   -57.0980    -0.0134
  -56.9620     0.1000   -56.7519   -56.9250     0.1731
  -56.9500     0.1000   -56.7399   -56.8569     0.1170
  -56.7810     1.0060   -56.2607   -56.4122     0.1515
  -56.7310     1.0060   -55.6578   -55.7545     0.0967
  -56.4370     1.0060   -55.9555   -55.6691    -0.2864
  -71.2070     0.1000   -71.1173   -71.1794     0.0621
  -70.9000     0.1000   -71.0294   -71.1242     0.0948
  -70.4950     0.1000   -70.2185   -70.4528     0.2343
  -70.0130     0.1000   -70.0638   -70.1177     0.0539
  -69.6640     0.1000   -69.5901   -69.7005     0.1104
  -69.3400     0.1000   -69.3530   -69.3424    -0.0106
  -68.4280     1.0060   -68.1221   -68.3599     0.2378
  -68.1130     1.0060   -68.2872   -68.1302    -0.1570
  -84.7750     0.1000   -84.6858   -84.7992     0.1134
  -83.3210     0.1000   -82.9655   -83.0848     0.1193
  -82.6530     0.1000   -82.4417   -82.5112     0.0695
  -82.3140     0.1000   -82.0449   -82.2113     0.1664
  -82.8080     0.1000   -82.9462   -82.8980    -0.0482
  -82.0750     0.1000   -82.1487   -82.2204     0.0717
  -81.4030     1.0060   -80.9366   -80.7195    -0.2171
  -81.2370     1.0060   -80.9738   -80.5033    -0.4705
  -94.6910     0.1000   -94.8026   -94.7668    -0.0358
  -94.3460     0.1000   -94.3940   -94.4510     0.0570
  -93.7350     0.1000   -93.8479   -93.8508     0.0029
  -93.5000     0.1000   -93.7422   -93.6285    -0.1137
  -93.2640     0.1000   -93.4418   -93.1989    -0.2429
  -93.1380     0.1000   -93.2957   -93.2575    -0.0382
  -93.1200     0.1000   -93.2590   -93.1319    -0.1271
  -92.9660     0.1000   -93.1281   -92.9927    -0.1354
  -92.8960     0.1000   -93.1901   -92.8873    -0.3028
  -92.8320     0.1000   -92.6071   -92.6631     0.0560
  -92.5260     0.1000   -92.7555   -92.6614    -0.0941
