Energy outputs   (0.0703 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
    0.0000     0.1000     0.0000     0.0000     0.0000
  -14.7900     0.1000   -14.8643   -14.8642    -0.0001
    0.6560     0.1000   -14.2390     0.6255   -14.8645
    1.5110     0.1000   -13.3503     1.5139   -14.8642
  -31.3200     0.1000   -31.2163   -31.2163    -0.0000
    1.4970     0.1000   -29.7635     1.4529   -31.2164
    1.9790     0.1000   -29.2777     1.9387   -31.2164
    2.6300     0.1000   -28.5505     2.6659   -31.2164
  -44.5880     0.1000   -44.5765   -44.5764    -0.0001
    0.3510     0.1000   -44.1255     0.4510   -44.5765
    0.8030     0.1000   -43.8173     0.7594   -44.5767
    1.2360     0.1000   -43.2157     1.3610   -44.5767
    1.9520     0.1000   -42.6568     1.9195   -44.5763
  -59.6640     0.1000   -59.5748   -59.5748     0.0000
    1.3480     0.1000   -58.0812     1.4936   -59.5748
    2.2160     0.1000   -57.4038     2.1708   -59.5746
    2.2880     0.1000   -57.3462     2.2285   -59.5747
    2.3330     0.1000   -57.1442     2.4306   -59.5748
    2.5240     0.1000   -57.0594     2.5155   -59.5749
    2.7020     0.1000   -56.8225     2.7524   -59.5749
    2.7140     0.1000   -56.7720     2.8028   -59.5748
  -71.2070     0.1000   -71.1596   -71.1597     0.0001
    0.3070     0.1000   -71.0280     0.1317   -71.1597
    0.7120     0.1000   -70.3988     0.7608   -71.1596
    1.1940     0.1000   -70.0210     1.1386   -71.1596
    1.5430     0.1000   -69.6565     1.5033   -71.1598
    1.8670     0.1000   -69.2951     1.8647   -71.1598
  -84.7750     0.1000   -84.7173   -84.7175     0.0002
    1.4540     0.1000   -83.0275     1.6899   -84.7174
    2.1220     0.1000   -82.4888     2.2286   -84.7174
    2.4610     0.1000   -82.1651     2.5521   -84.7172
    1.9670     0.1000   -82.8864     1.8309   -84.7173
    2.7000     0.1000   -82.1982     2.5192   -84.7174
  -94.6910     0.1000   -94.7406   -94.7407     0.0001
    0.3450     0.1000   -94.4752     0.2653   -94.7405
    0.9560     0.1000   -93.8422     0.8987   -94.7409
    1.1910     0.1000   -93.6836     1.0569   -94.7405
    1.4270     0.1000   -93.2555     1.4852   -94.7407
    1.5530     0.1000   -93.2595     1.4809   -94.7404
    1.5710     0.1000   -93.1391     1.6015   -94.7406
    1.7250     0.1000   -93.0097     1.7310   -94.7407
    1.7950     0.1000   -92.9323     1.8083   -94.7406
    1.8590     0.1000   -92.7074     2.0333   -94.7407
    2.1650     0.1000   -92.6804     2.0603   -94.7407
    3.8560     0.1000   -90.7826     3.9579   -94.7405
 -106.6700     0.1000  -106.6541  -106.6540    -0.0001
    1.5650     0.1000  -105.1128     1.5412  -106.6540
    2.2500     0.1000  -104.3866     2.2674  -106.6540
    2.3490     0.1000  -104.2335     2.4206  -106.6541
    2.9170     0.1000  -103.5876     3.0666  -106.6542
    3.0990     0.1000  -103.4708     3.1830  -106.6538
    3.9350     0.1000  -102.8346     3.8197  -106.6543
    4.4310     0.1000  -102.2633     4.3907  -106.6540
 -115.2920     0.1000  -115.3245  -115.3244    -0.0001
    0.4030     0.1000  -114.9816     0.3426  -115.3242
    0.8450     0.1000  -114.4660     0.8586  -115.3246
    1.3490     0.1000  -113.8821     1.4424  -115.3245
    1.3900     0.1000  -114.0378     1.2867  -115.3245
    1.4630     0.1000  -113.8553     1.4693  -115.3246
    1.5780     0.1000  -113.8010     1.5237  -115.3247
    1.6780     0.1000  -113.5091     1.8153  -115.3244
    3.0010     0.1000  -112.2567     3.0676  -115.3243
    3.0990     0.1000  -112.2898     3.0347  -115.3245
    3.6440     0.1000  -111.6458     3.6784  -115.3242
    4.1510     0.1000  -111.1663     4.1582  -115.3245
 -125.9040     0.1000  -125.9588  -125.9589     0.0001
    1.8360     0.1000  -124.1223     1.8365  -125.9588
    2.7340     0.1000  -123.2542     2.7047  -125.9589
    3.1560     0.1000  -122.7592     3.1997  -125.9589
    3.2180     0.1000  -122.8312     3.1277  -125.9589
    3.6350     0.1000  -122.4169     3.5420  -125.9589
    3.4870     0.1000  -122.5362     3.4227  -125.9589
    3.5850     0.1000  -122.4197     3.5390  -125.9587
    3.9530     0.1000  -122.1019     3.8565  -125.9584
    4.0200     0.1000  -121.9248     4.0339  -125.9587
 -132.9830     0.1000  -133.1196  -133.1196    -0.0000
    0.9090     0.1000  -132.1537     0.9659  -133.1196
    1.5070     0.1000  -131.6244     1.4952  -133.1196
    1.7450     0.1000  -131.5636     1.5560  -133.1196
    2.2220     0.1000  -131.0029     2.1166  -133.1195
    2.5300     0.1000  -130.4938     2.6259  -133.1197
    2.5670     0.1000  -130.5223     2.5973  -133.1196
    2.6220     0.1000  -130.5054     2.6141  -133.1195
    2.8930     0.1000  -130.2071     2.9125  -133.1196
    3.3430     0.1000  -129.8598     3.2598  -133.1196
    4.1320     0.1000  -128.9543     4.1654  -133.1197
    4.4500     0.1000  -128.6564     4.4632  -133.1196
    4.8390     0.1000  -128.2403     4.8795  -133.1198
 -141.3330     0.1000  -141.3565  -141.3566     0.0001
    1.7610     0.1000  -139.5335     1.8230  -141.3565
    2.1860     0.1000  -139.1172     2.2394  -141.3566
    2.3190     0.1000  -139.0695     2.2871  -141.3566
    2.7390     0.1000  -138.6523     2.7043  -141.3566
    2.7480     0.1000  -138.7134     2.6433  -141.3567
    3.0770     0.1000  -138.2632     3.0935  -141.3567
    3.3090     0.1000  -138.0361     3.3207  -141.3568
    3.4480     0.1000  -137.9016     3.4551  -141.3567
    3.5890     0.1000  -137.8630     3.4937  -141.3567
    5.2480     0.1000  -136.2248     5.1316  -141.3564
    5.6440     0.1000  -135.9184     5.4381  -141.3565
 -146.4880     0.1000  -146.5251  -146.5250    -0.0001
    0.1050     0.1000  -146.4097     0.1154  -146.5251
    1.1870     0.1000  -145.3086     1.2166  -146.5252
    1.3130     0.1000  -145.1013     1.4237  -146.5250
    1.5810     0.1000  -145.0504     1.4748  -146.5252
    1.6130     0.1000  -144.9615     1.5636  -146.5251
    1.6370     0.1000  -144.9153     1.6097  -146.5250
    1.7900     0.1000  -144.7123     1.8127  -146.5250
    1.9840     0.1000  -144.4602     2.0649  -146.5251
    2.0340     0.1000  -144.4850     2.0401  -146.5251
    2.2900     0.1000  -144.2400     2.2851  -146.5251
    2.4130     0.1000  -144.0116     2.5135  -146.5251
    2.6600     0.1000  -143.8100     2.7150  -146.5250
    3.1100     0.1000  -143.3926     3.1325  -146.5251
    3.4660     0.1000  -143.1031     3.4220  -146.5251
 -153.9470     0.1000  -153.8937  -153.8938     0.0001
    1.5100     0.1000  -152.2839     1.6100  -153.8939
    2.2830     0.1000  -151.6376     2.2562  -153.8938
    2.5200     0.1000  -151.3555     2.5383  -153.8938
    2.5270     0.1000  -151.4064     2.4874  -153.8938
    2.6120     0.1000  -151.2730     2.6208  -153.8938
    2.7600     0.1000  -151.2132     2.6806  -153.8938
    2.8500     0.1000  -151.0831     2.8107  -153.8938
 -158.0340     0.1000  -158.0092  -158.0091    -0.0001
    0.3920     0.1000  -157.5905     0.4188  -158.0093
    0.6810     0.1000  -157.2606     0.7486  -158.0092
    1.4080     0.1000  -156.5088     1.5004  -158.0092
    1.4340     0.1000  -156.4477     1.5615  -158.0092
    1.5160     0.1000  -156.4713     1.5380  -158.0093
    2.1850     0.1000  -155.8634     2.1455  -158.0089
    2.1850     0.1000  -155.7867     2.2226  -158.0093
    2.1850     0.1000  -155.8280     2.1811  -158.0091
    2.5350     0.1000  -155.4779     2.5312  -158.0091
    3.2810     0.1000  -154.7195     3.2896  -158.0091
    3.8880     0.1000  -154.0565     3.9527  -158.0092
 -164.3000     0.1000  -164.2210  -164.2210    -0.0000
    1.4310     0.1000  -162.7702     1.4509  -164.2211
    2.1870     0.1000  -162.0108     2.2103  -164.2211
