Energy outputs: 
       exp      error        BAB         JP       Diff 
    0.0000     1.2093     0.0000     0.0000     0.0000
  -14.7900     0.1831   -14.7957   -14.7955    -0.0002
    0.6560    -0.0500   -14.1417   -14.1416    -0.0001
    1.5110    -0.0500   -13.2839   -13.2838    -0.0001
    4.7000     1.0122   -10.1659   -10.1664     0.0005
  -31.3200     0.1500   -31.2675   -31.2674    -0.0001
    1.4970     0.1500   -29.7566   -29.7565    -0.0001
    1.9790     0.1500   -29.3603   -29.3602    -0.0001
    2.6300     0.1500   -28.6431   -28.6430    -0.0001
  -44.5880     0.1500   -44.5539   -44.5538    -0.0001
    0.3510     0.1500   -44.1220   -44.1219    -0.0001
    0.8030     0.1500   -43.8776   -43.8775    -0.0001
    1.2360     0.1500   -43.2676   -43.2675    -0.0001
    1.9520     0.1500   -42.5171   -42.5170    -0.0001
    4.0000     1.0122   -40.7901   -40.7911     0.0010
  -59.6640     0.1500   -59.5638   -59.5637    -0.0001
    1.3480     0.1500   -58.0982   -58.0982    -0.0000
    2.2160     0.1500   -57.2269   -57.2268    -0.0001
    2.2880     0.1500   -57.3026   -57.3025    -0.0001
    2.3330     0.1500   -57.1944   -57.1943    -0.0001
    2.5240     0.1500   -57.1456   -57.1455    -0.0001
    2.7020     0.1500   -56.9628   -56.9627    -0.0001
    2.7140     0.1500   -56.7710   -56.7708    -0.0002
    2.8830     1.0122   -56.1421   -56.1417    -0.0004
    2.9330     1.0122   -55.5454   -55.5452    -0.0002
    3.2270     1.0122   -55.7132   -55.7131    -0.0001
  -71.2070     0.1500   -71.1512   -71.1512    -0.0000
    0.3070     0.1500   -70.9824   -70.9824     0.0000
    0.7120     0.1500   -70.2358   -70.2357    -0.0001
    1.1940     0.1500   -70.0735   -70.0734    -0.0001
    1.5430     0.1500   -69.5594   -69.5594    -0.0000
    1.8670     0.1500   -69.2677   -69.2677    -0.0000
    2.7790     1.0122   -68.2974   -68.2981     0.0007
    3.0940     1.0122   -68.0366   -68.0366    -0.0000
  -84.7750     0.1500   -84.6796   -84.6796     0.0000
