The p35-i3 Hamiltonian
All numbers are  in units of MeV. 
The orbitals are labeled by k with
k=1 for 0f5/2,
k=2 for 1p3/2,
k=3 for 1p1/2, and
k=4 for 0g9/2.
SPE(1) =  -14.8729 
SPE(2) =  -14.1118, 
SPE(3) =  -13.3233, and 
SPE(4) =   -9.7056.
The table contains k1, k2, k3, k4, J, and  TBME(k1,k2,k3,k4,J,T=1).  
 1 1 1 1  0  -0.4231
 1 1 2 2  0  -0.9062
 1 1 3 3  0  -0.9527
 1 1 4 4  0   1.7602
 2 2 2 2  0   0.0985
 2 2 3 3  0  -0.6757
 2 2 4 4  0   1.2092
 3 3 3 3  0   0.4232
 3 3 4 4  0   0.7347
 4 4 4 4  0  -0.7997
 1 2 1 2  1   0.7977
 1 2 2 3  1  -0.0102
 2 3 2 3  1   0.7258
 1 1 1 1  2   0.4175
 1 1 1 2  2  -0.2325
 1 1 1 3  2  -0.4466
 1 1 2 2  2  -0.2462
 1 1 2 3  2  -0.3913
 1 1 4 4  2   0.3924
 1 2 1 2  2   0.8217
 1 2 1 3  2   0.2397
 1 2 2 2  2   0.2777
 1 2 2 3  2   0.3862
 1 2 4 4  2  -0.6077
 1 3 1 3  2   0.1329
 1 3 2 2  2   0.0384
 1 3 2 3  2  -0.4775
 1 3 4 4  2   0.5542
 1 4 1 4  2   0.0421
 2 2 2 2  2   0.2882
 2 2 2 3  2  -0.4163
 2 2 4 4  2   0.6484
 2 3 2 3  2   0.1423
 2 3 4 4  2   0.3348
 4 4 4 4  2  -0.1620
 1 2 1 2  3   0.8950
 1 2 1 3  3  -0.1740
 1 3 1 3  3   1.1166
 1 4 1 4  3   0.2328
 1 4 2 4  3   0.1689
 2 4 2 4  3  -0.2489
 1 1 1 1  4   0.5909
 1 1 1 2  4  -0.0808
 1 1 4 4  4   0.0712
 1 2 1 2  4   0.2474
 1 2 4 4  4  -0.6290
 1 4 1 4  4   0.5752
 1 4 2 4  4   0.1236
 1 4 3 4  4  -0.1368
 2 4 2 4  4   0.6199
 2 4 3 4  4  -0.1014
 3 4 3 4  4   0.6132
 4 4 4 4  4   0.2891
 1 4 1 4  5   0.2415
 1 4 2 4  5   0.0179
 1 4 3 4  5  -0.4179
 2 4 2 4  5   0.1877
 2 4 3 4  5   0.2897
 3 4 3 4  5   0.1333
 1 4 1 4  6   0.5584
 1 4 2 4  6   0.4964
 2 4 2 4  6   0.8076
 4 4 4 4  6   0.4062
 1 4 1 4  7  -0.3052
 4 4 4 4  8   0.5553

