Parameters of VLC=35 Fit: 
ab-initio      start          fit          BAB        fit-BAB
-14.8508     -14.8215     -14.8215     -14.8215       0.0000
-14.1949     -14.1258     -14.1258     -14.1258      -0.0000
-13.3443     -13.3105     -13.3105     -13.3105      -0.0000
 -9.7485      -9.6865      -9.6865      -9.6865       0.0000
 -0.2876      -0.1723      -0.1723      -0.1723      -0.0000
 -1.6796      -0.8667      -0.8667      -0.8667       0.0000
 -1.2713      -0.8756      -0.8756      -0.8756       0.0000
  3.3384       2.4720       2.4720       2.4720      -0.0000
 -0.1565       0.1249       0.1249       0.1249       0.0000
 -1.3489      -0.9404      -0.9404      -0.9404      -0.0000
  1.9676       1.0633       1.0632       1.0633      -0.0001
  0.5024       0.5778       0.5778       0.5778       0.0000
  1.2602       0.7017       0.7018       0.7017       0.0001
 -1.7026      -0.5218      -0.5218      -0.5218      -0.0000
  0.7924       0.7990       0.7990       0.7990      -0.0000
  0.1284       0.1425       0.1425       0.1425       0.0000
  0.8503       0.6467       0.6467       0.6467      -0.0000
  0.3776       0.4721       0.4721       0.4721       0.0000
  0.0116      -0.2638      -0.2638      -0.2638       0.0000
 -0.5552      -0.4316      -0.4316      -0.4316      -0.0000
 -0.3221      -0.2310      -0.2310      -0.2310       0.0000
 -0.6822      -0.5331      -0.5331      -0.5331       0.0000
  0.6410       0.5445       0.5445       0.5445       0.0000
  0.9210       1.0638       1.0638       1.0638       0.0000
  0.0419       0.2267       0.2267       0.2267      -0.0000
  0.1865       0.3923       0.3923       0.3923      -0.0000
  0.4931       0.5124       0.5124       0.5124       0.0000
 -0.7932      -0.7127      -0.7127      -0.7127      -0.0000
  0.2299       0.2144       0.2144       0.2144       0.0000
 -0.0718       0.1302       0.1302       0.1302       0.0000
 -0.5508      -0.4795      -0.4795      -0.4795       0.0000
  0.8995       0.6818       0.6818       0.6818      -0.0000
  0.3636       0.2052       0.2051       0.2052      -0.0001
 -0.4685      -0.4393      -0.4394      -0.4393      -0.0001
  0.7828       0.6600       0.6600       0.6600       0.0000
  0.4208       0.1618       0.1618       0.1618      -0.0000
  0.4821       0.3287       0.3287       0.3287      -0.0000
 -0.5779      -0.0831      -0.0832      -0.0831      -0.0001
 -0.1747      -0.1430      -0.1430      -0.1430       0.0000
  0.7038       0.8675       0.8676       0.8675       0.0001
  0.2051      -0.1655      -0.1655      -0.1655      -0.0000
  1.2099       1.0669       1.0669       1.0669      -0.0000
  0.1623       0.2035       0.2035       0.2035      -0.0000
  0.2765       0.1912       0.1912       0.1912      -0.0000
 -0.4928      -0.3628      -0.3628      -0.3628      -0.0000
  0.7683       0.5557       0.5557       0.5557      -0.0000
  0.3823      -0.0022      -0.0021      -0.0022       0.0001
  0.3237       0.2725       0.2725       0.2725       0.0000
  0.6153       0.2580       0.2580       0.2580       0.0000
 -0.8119      -0.8845      -0.8845      -0.8845       0.0000
  0.1972       0.3541       0.3541       0.3541       0.0000
  0.6102       0.5867       0.5867       0.5867      -0.0000
  0.2449       0.0413       0.0413       0.0413       0.0000
 -0.1178      -0.0996      -0.0995      -0.0996       0.0001
  0.5989       0.6097       0.6097       0.6097       0.0000
 -0.1466      -0.1793      -0.1793      -0.1793      -0.0000
  0.5740       0.5955       0.5955       0.5955       0.0000
  0.4065       0.2875       0.2875       0.2875      -0.0000
  0.0844       0.1070       0.1070       0.1070      -0.0000
 -0.4200      -0.3872      -0.3872      -0.3872      -0.0000
  0.2386       0.1531       0.1531       0.1531       0.0000
  0.4668       0.3415       0.3415       0.3415       0.0000
  0.0945       0.1199       0.1199       0.1199       0.0000
  0.4413       0.3990       0.3990       0.3990       0.0000
  0.7797       0.6026       0.6026       0.6026      -0.0000
  0.2976       0.3419       0.3419       0.3419      -0.0000
  1.0066       0.8870       0.8870       0.8870       0.0000
 -0.1159      -0.4446      -0.4445      -0.4446       0.0001
  0.6049       0.5507       0.5507       0.5507      -0.0000
Fit RMSE of VLC=35 Fit: 0.3018 
BAB RMSE of VLC=35 Fit: 0.3018
