nuc     error      exp      theory      difference
ni     1.2093  -642.5640  -642.5640     0.0000 
cu     0.1831  -657.3540  -657.3833     0.0293 
cu    -0.0500     0.6560     0.6907    -0.0347 
cu    -0.0500     1.5110     1.5117    -0.0007 
cu     1.0122     4.7000     5.2396    -0.5396 ooooo
zn     0.1500  -673.8840  -673.7389    -0.1451 -
zn     0.1500     1.4970     1.5140    -0.0170 
zn     0.1500     1.9790     2.0683    -0.0893 
zn     0.1500     2.6300     2.4932     0.1368 +
ga     0.1500  -687.1520  -687.0448    -0.1072 -
ga     0.1500     0.3510     0.4374    -0.0864 
ga     0.1500     0.8030     0.5849     0.2181 ++
ga     0.1500     1.2360     1.3299    -0.0939 
ga     0.1500     1.9520     1.8839     0.0681 
ga     1.0122     4.0000     4.0553    -0.0553 
ge     0.1500  -702.2280  -702.0459    -0.1821 -
ge     0.1500     1.3480     1.5665    -0.2185 --
ge     0.1500     2.2160     2.3763    -0.1603 -
ge     0.1500     2.2880     2.2142     0.0738 
ge     0.1500     2.3330     2.3804    -0.0474 
ge     0.1500     2.5240     2.3781     0.1459 +
ge     0.1500     2.7020     2.7363    -0.0343 
ge     0.1500     2.7140     2.7074     0.0066 
ge     1.0122     2.8830     3.1760    -0.2930 oo
ge     1.0122     2.9330     3.7650    -0.8320 oooooooo
ge     1.0122     3.2270     3.4450    -0.2180 oo
 a     0.1500  -713.7710  -713.6849    -0.0861 
 a     0.1500     0.3070     0.1206     0.1864 +
 a     0.1500     0.7120     0.8967    -0.1847 -
 a     0.1500     1.1940     1.1094     0.0846 
 a     0.1500     1.5430     1.5409     0.0021 
 a     0.1500     1.8670     1.7735     0.0935 
 a     1.0122     2.7790     2.9918    -0.2128 oo
 a     1.0122     3.0940     2.8885     0.2055 oo
 e     0.1500  -727.3390  -727.2599    -0.0791 
 e     0.1500     1.4540     1.7762    -0.3222 ---
 e     0.1500     2.1220     2.2800    -0.1580 -
 e     0.1500     2.4610     2.6406    -0.1796 -
 e     0.1500     1.9670     1.7324     0.2346 ++
 e     0.1500     2.7000     2.5257     0.1743 +
 e     1.0122     3.3720     3.7590    -0.3870 ooo
 e     1.0122     3.5380     3.5949    -0.0569 
br     0.1500  -737.2550  -737.3653     0.1103 +
br     0.1500     0.3450     0.4307    -0.0857 
br     0.1500     0.9560     0.9096     0.0464 
br     0.1500     1.1910     1.0735     0.1175 +
br     0.1500     1.4270     1.3675     0.0595 
br     0.1500     1.5530     1.4654     0.0876 
br     0.1500     1.5710     1.5570     0.0140 
br     0.1500     1.7250     1.6831     0.0419 
br     0.1500     1.7950     1.6555     0.1395 +
br     0.1500     1.8590     2.1396    -0.2806 --
br     0.1500     2.1650     2.0166     0.1484 +
br     1.0122     3.3260     4.6201    -1.2941 oooooooooooo
br     1.0122     3.4210     3.7699    -0.3489 ooo
br     1.0122     3.6850     3.9557    -0.2707 oo
br     0.1500     3.8560     4.0097    -0.1537 -
kr     0.1500  -749.2340  -749.3103     0.0763 
kr     0.1500     1.5650     1.6321    -0.0671 
kr     0.1500     2.2500     2.2814    -0.0314 
kr     0.1500     2.3490     2.4624    -0.1134 -
kr     1.0122     2.7260     2.7379    -0.0119 
kr     0.1500     2.9170     3.0227    -0.1057 -
kr     0.1500     3.0990     3.2462    -0.1472 -
kr     0.1500     3.9350     3.8726     0.0624 
kr     0.1500     4.4310     4.3839     0.0471 
kr     1.2093     4.6930     4.7062    -0.0132 
rb     0.1500  -757.8560  -757.9205     0.0645 
rb     0.1500     0.4030     0.4501    -0.0471 
rb     0.1500     0.8450     0.6873     0.1577 +
rb     0.1500     1.3490     1.6579    -0.3089 ---
rb     0.1500     1.3900     1.2567     0.1333 +
rb     0.1500     1.4630     1.3732     0.0898 
rb     0.1500     1.5780     1.5034     0.0746 
rb     0.1500     1.6780     1.8964    -0.2184 --
rb     0.1500     3.0010     3.0517    -0.0507 
rb     0.1500     3.0990     3.0292     0.0698 
rb     0.1500     3.6440     3.4838     0.1602 +
rb     0.1500     4.1510     4.1383     0.0127 
 r     0.1500  -768.4680  -768.5095     0.0415 
 r     0.1500     1.8360     1.8325     0.0035 
 r     0.1500     2.7340     2.6441     0.0899 
 r     0.1500     3.1560     3.2625    -0.1065 -
 r     0.1500     3.2180     3.1164     0.1016 +
 r     0.1500     3.6350     3.4957     0.1393 +
 r     0.1500     3.4870     3.4043     0.0827 
 r     0.1500     3.5850     3.5015     0.0835 
 r     0.1500     3.9530     3.8420     0.1110 +
 r     1.0122     3.9920     3.8362     0.1558 o
 r     0.1500     4.0200     4.0708    -0.0508 
y      0.1500  -775.5470  -775.6153     0.0683 
